One,Two,Three,Four
73,79,49,78
56,87,64,11
64,73,7,46
10,67,56,51
29,94,49,20
29,53,51,4
15,12,23,63
63,53,30,39
36,57,56,76
3,95,26,95
40,28,93,24
28,48,68,35
10,37,58,49
25,6,95,66
79,62,64,70
49,70,51,3
49,7,92,59
96,80,64,13
21,54,75,19
16,9,58,36
32,47,35,10
26,15,58,7
61,60,79,51
18,43,6,24
35,49,78,3
77,48,48,77
35,53,78,27
25,45,33,58
56,28,63,96
85,53,29,70
70,71,33,86
7,55,21,19
20,60,96,77
72,98,70,63
34,90,20,76
69,4,0,68
86,40,54,38
74,11,21,60
14,55,22,97
33,79,62,71
48,28,65,99
82,98,86,85
57,36,1,54
77,73,69,64
53,62,97,78
54,73,73,99
1,89,61,51
40,35,3,72
32,60,54,72
12,82,6,93
57,55,48,25
51,68,44,99
66,6,88,76
49,60,28,73
23,76,59,22
93,26,72,60
60,54,23,68
4,15,91,19
41,75,89,77
55,67,36,24
64,57,86,96
37,75,36,54
2,92,53,31
25,46,7,16
50,58,58,48
36,45,91,10
62,73,91,67
5,91,83,98
36,3,30,1
96,88,57,91
36,68,89,57
39,60,92,63
84,64,91,97
5,85,12,65
92,56,4,17
79,88,91,35
40,42,68,13
38,98,71,88
44,76,91,66
34,17,60,16
74,14,12,98
7,21,55,61
32,67,20,35
65,82,82,51
48,82,15,38
74,89,10,13
25,63,80,34
60,46,66,18
75,64,10,29
97,72,54,91
66,27,40,93
40,62,44,85
3,85,80,44
69,2,69,59
37,99,65,29
57,33,69,44
80,36,97,19
95,60,95,34
28,88,0,94
12,42,76,59
